year, propHerrInCodDiet
1972,0.001205517
1972,0.001205517
1972,0.001205517
1974,0.001205517
1974,0.001205517
1975,0.001205517
1975,0.001205517
1976,0.001205517
1982,0.001205517
1982,0.001205517
1983,0.001205517
1983,0.001205517
1984,0.001205517
1984,0.012794942
1985,0.015341033
1985,0.017208166
1985,0.017491064
1986,0.017491064
1986,0.017491064
1987,0.017491064
1987,0.017491064
1988,0.017491064
1988,0.017491064
1989,0.017491064
1989,0.017491064
1990,0.017491064
1990,0.017491064
1991,0.015341033
1992,0.017491064
1992,0.017491064
1993,0.017491064
1993,0.017491064
1994,0.017491064
1994,0.017491064
1995,0.017491064
1995,0.017491064
1996,0.017491064
1996,0.017491064
1997,0.017491064
1997,0.017491064
1998,0.017491064
1998,0.017491064
1999,0.017491064
1999,0.017491064
2000,0.017491064
2000,0.017491064
2001,0.017491064
2001,0.017491064
2002,0.016597104
2002,0.013942704
2003,0.014593304
2003,0.017491064
2004,0.016721579
2005,0.015082942
2005,0.019881503
2006,0.017491064
2007,0.017491064
2007,0.017491064
2008,0.017491064
2008,0.017491064
2008,0.017491064
2009,0.017491064
2009,0.017491064
2010,0.017491064
2010,0.017491064
2011,0.017491064
2011,0.017491064
2012,0.017491064
2012,0.017491064
2013,0.017491064
2013,0.017491064
2014,0.017491064
2014,0.017283605
1971,0.002020202
1978,-0.002020202
1979,-0.002020202
1980,-0.002020202
