year, propHerrInCodDiet
1971,0.096969697
1971,0.081564841
1972,0.066262838
1972,0.052328652
1973,0.044884167
1973,0.030504415
1974,0.030504415
1974,0.030504415
1975,0.030504415
1975,0.030504415
1976,0.030504415
1976,0.030504415
1977,0.030504415
1977,0.030504415
1978,0.030504415
1978,0.030504415
1979,0.030504415
1979,0.030504415
1980,0.030504415
1980,0.030504415
1981,0.030504415
1981,0.030504415
1982,0.030504415
1982,0.030504415
1982,0.035954934
1982,0.049854701
1982,0.06313209
1983,0.079106449
1983,0.094043512
1983,0.108773116
1983,0.121843046
1983,0.146323232
1983,0.130763792
1983,0.164372183
1983,0.184288267
1983,0.2039554
1983,0.226609946
1983,0.244970085
1984,0.266286519
1984,0.278474747
1984,0.298079643
1984,0.316232323
1984,0.334903652
1984,0.354197358
1984,0.381685703
1984,0.363533023
1984,0.405024864
1984,0.424370435
1984,0.44008547
1984,0.454192696
1984,0.469959596
1985,0.484647708
1985,0.497966589
1985,0.511970085
1985,0.527218337
1985,0.545040969
1986,0.549623932
1986,0.551830543
1987,0.552113442
1987,0.553245038
1988,0.553980575
1988,0.553980575
1989,0.553980575
1989,0.553980575
1990,0.553980575
1990,0.553980575
1991,0.553980575
1991,0.553980575
1992,0.553980575
1992,0.553923995
1993,0.553584516
1993,0.553584516
1994,0.553584516
1994,0.553245038
1994,0.552113442
1995,0.551830543
1995,0.550868687
1996,0.55013315
1996,0.545776506
1997,0.540344847
1997,0.534573709
1998,0.528406513
1998,0.527444656
1999,0.530896023
1999,0.535931624
2000,0.543173836
2000,0.548096277
2001,0.550585788
2001,0.551943703
2002,0.552113442
2002,0.553301618
2003,0.553641096
2003,0.553641096
2004,0.553584516
2004,0.553584516
2005,0.553584516
2005,0.553584516
2006,0.553641096
2006,0.553641096
2007,0.553641096
2007,0.553697676
2008,0.553697676
2008,0.553697676
2009,0.553641096
2009,0.553641096
2010,0.553641096
2010,0.553641096
2011,0.553641096
2011,0.553641096
2012,0.553641096
2012,0.553697676
2013,0.553697676
2013,0.553697676
2014,0.553697676
2014,0.55363481
