year,mean_temp
1971,1.97394124
1972,2.74955039
1973,4.66097996
1974,3.78026621
1975,6.69430689
1976,3.99397293
1977,1.39205477
1978,4.70655617
1979,3.0595672
1980,3.45346742
1981,2.38034067
1982,1.30019231
1983,1.63998004
1984,0.88332279
1985,1.72184839
1986,1.85692582
1987,1.70526829
1988,1.77735533
1989,2.45179558
1990,1.00471724
1991,3.62198021
1992,1.43791409
1993,2.13593795
1994,2.58947882
1995,2.3793643
1996,2.20717928
1997,2.34440478
1998,2.00906468
1999,2.30418962
2000,4.12270794
2001,1.94980975
2002,3.15214836
2003,4
2004,4.14031889
2005,1.66761976
2006,2.29753576
2007,2.76865277
2008,2.46731148
2009,3.62809696
2010,2.41226004
2011,3.56755327
2012,2.34417421
2013,3.10344442
2014,5.1334448
2015,2.17657835
2016,2.497684214
2017,2.47
2018,2.462688777
