Month,Effect_month,Effect_LengthMonth,Intercept,Source,Slope,prop.nonzero
1,0,0,-1.864080962,-0.803331394,0.06130647,0.500813008
2,0,0,-1.864080962,-0.803331394,0.06130647,0.500813008
3,0,0,-1.864080962,-0.803331394,0.06130647,0.500813008
4,0.66222118,0.018167067,-1.864080962,-0.803331394,0.06130647,0.957721062
5,1.167795847,0.017604036,-1.864080962,-0.803331394,0.06130647,0.957908583
6,1.743946898,0.002609662,-1.864080962,-0.803331394,0.06130647,0.976030681
7,1.263363473,0.013225375,-1.864080962,-0.803331394,0.06130647,0.992575967
8,0.343005028,0.021323802,-1.864080962,-0.803331394,0.06130647,0.983577452
9,0.040396794,0.028290113,-1.864080962,-0.803331394,0.06130647,0.977448872
10,0.476334074,0.016954793,-1.864080962,-0.803331394,0.06130647,0.971296522
11,-0.194232973,0.019518678,-1.864080962,-0.803331394,0.06130647,0.868992248
12,0.058612349,0.020518837,-1.864080962,-0.803331394,0.06130647,0.648148148
