Age,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981
1,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0
2,0.3,0.3,0.6,2.1,1.5,6.1,0.1,0.1,0.3,1.5,2.8,1.6,0.1
3,2.7,4.9,4.4,1.9,3.4,6.4,3,0.4,4.7,19,5.9,38.2,18.2
4,2.5,6.9,12.4,5.8,4.3,21,5.5,2.8,12.4,27.2,32.9,11.7,60.2
5,2.4,3.5,4.8,19.1,7.5,7.7,34.2,7.9,5.6,14.1,26.1,27.5,10.8
6,11.5,3,8,7.9,19.6,5.2,9.4,46,5.6,3.9,10.5,9.9,4.7
7,15.1,18.8,11.9,10.9,9,12.8,4.4,6.6,35.2,3.5,2.2,4.9,1.8
8,4.8,12.1,15.5,10.1,11.8,3.5,6.7,3,3.5,13.9,3,0.7,1.9
9,6.4,5,7.8,9.1,9.2,6.8,3,5.6,2.2,1.6,4.9,1,0.3
10,11.8,7.2,4.2,4.7,13.7,5.2,5,1.2,4.4,0.9,0.7,0.4,0.2
11,42.5,38.2,30.4,28.4,20,25.3,28.7,26.4,26.1,14.4,10.9,4,1.8
