Age,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981
1,0,0,0,0,0,0,0,0,0,0.05,0
2,0.04,0.04,0.04,0.047,0.04,0.035,0.04,0.04,0.037,0.076,0
3,0.093,0.053,0.1,0.126,0.115,0.111,0.099,0.128,0.083,0.109,0.1433
4,0.142,0.168,0.17,0.19,0.169,0.184,0.166,0.191,0.168,0.172,0.2416
5,0.189,0.194,0.206,0.235,0.215,0.217,0.202,0.231,0.217,0.224,0.2734
6,0.129,0.238,0.242,0.255,0.248,0.253,0.229,0.26,0.262,0.257,0.3167
7,0.234,0.253,0.269,0.283,0.272,0.276,0.26,0.288,0.288,0.3,0.3261
8,0.248,0.262,0.292,0.314,0.288,0.283,0.276,0.315,0.312,0.329,0.3478
9,0.264,0.277,0.295,0.327,0.314,0.3,0.287,0.313,0.329,0.346,0.394
10,0.272,0.287,0.313,0.331,0.325,0.323,0.285,0.322,0.333,0.375,0.3275
11,0.297,0.312,0.342,0.354,0.362,0.349,0.324,0.363,0.38,0.386,0.4268
