Age,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981
1,0,0,0,0,0,0,1.8,1.3,8.7,2.1,0.5
2,1.5,0.2,6.3,7.4,1.5,17.4,3,12.1,23.6,21.6,14.7
3,31.2,3,2.7,13.8,25.5,9.2,55.2,12.4,14.5,42.4,42.9
4,3.2,41.3,3.3,5.4,18.3,29.5,6.8,57,6.2,5.7,19.7
5,6.4,9.1,51.2,2.8,3.1,7.3,9.9,4,35.9,3.1,3.2
6,4.5,8.2,8.4,42.1,16,2.4,3.3,6,2.3,15.7,2.1
7,4.3,6.1,4.9,6.1,19.1,0.5,0.6,1.1,3.3,3.3,10.7
8,7.2,6.8,8.6,6.6,2.4,9.5,0.5,1,0.8,2,1.7
9,7.1,7.3,3.2,9.8,3.1,1.1,6.1,0.2,0.2,0.8,1.7
10,2.6,7.5,3.4,1.7,5.1,1.6,0.5,3.1,0.8,0.3,0.2
11,32,10.5,8,4.3,5.9,21.5,12.4,1.8,3.7,2.9,2.6
