Herd,Sex,Month,Proportion
G,1,1,0.64723793
G,2,1,0.533657183
S,1,1,0.019812769
S,2,1,0.090541106
G,1,2,0.57694314
G,2,2,0.416666667
S,1,2,0.05877551
S,2,2,0.0168185
G,1,3,0.441159077
G,2,3,0.208092486
S,1,3,0
S,2,3,0
G,1,4,0.553290083
G,2,4,0.301546392
S,1,4,0
S,2,4,0
G,1,5,0.521963824
G,2,5,0.225895317
S,1,5,0
S,2,5,0
G,1,6,0.87550813
G,2,6,0.606425703
S,1,6,0
S,2,6,0.03542264
G,1,7,0.798429003
G,2,7,0.61517165
S,1,7,0.031441048
S,2,7,0.064593166
G,1,8,0.801116539
G,2,8,0.60546442
S,1,8,0.067209056
S,2,8,0.054967672
G,1,9,0.842224602
G,2,9,0.549388706
S,1,9,0.055847176
S,2,9,0.044705556
G,1,10,0.907502316
G,2,10,0.561684374
S,1,10,0.045568459
S,2,10,0.054532484
G,1,11,0.945620438
G,2,11,0.582159624
S,1,11,0.012261835
S,2,11,0.04451509
G,1,12,0.841049383
G,2,12,0.706952567
S,1,12,0.002692075
S,2,12,0.045136149
