year,survRate
1960,1
1961,1
1962,1
1963,1
1964,1
1965,1
1966,1
1967,1
1968,1
1969,0.8
1970,1
1971,1
1972,0.9
1973,1
1974,1
1975,0.4
1976,0.8
1977,1
1978,0.6
1979,1
1980,0.8
1981,1
1982,1
1983,0.5
1984,1
1985,1
1986,1
1987,1
1988,1
1989,1
1990,1
1991,0.9
1992,1
1993,0.8
1994,1
1995,0.2
1996,1
1997,0.7
1998,0.7
1999,0.2
2000,0.7
2001,0.7
2002,0.4
2003,1
2004,1
2005,0.7
2006,0.1
2007,.5
2008,0.6
2009,1
2010,0.6
2011,1
2012,1
2013,0.7
2014,0.9
2015,0.8
2016,1
