year, obs, se
1960, NA, NA
1961, NA, NA
1962, NA, NA
1963, NA, NA
1964, NA, NA
1965, NA, NA
1966,900,2000
1967, NA, NA
1968, NA, NA
1969, NA, NA
1970, NA, NA
1971, NA, NA
1972, NA, NA
1973, NA, NA
1974, NA, NA
1975,3800,3800
1976, NA, NA
1977,3900,3900
1978, NA, NA
1979, NA, NA
1980, NA, NA
1981, NA, NA
1982, NA, NA
1983, NA, NA
1984,7169,911
1985,6706,795
1986,5588,679
1987, NA, NA
1988, NA, NA
1989,9352,1756
1990,9176,649
1991, NA, NA
1992, NA, NA
1993, NA, NA
1994, NA, NA
1995, NA, NA
1996,11112,1306
1997,7745,800
1998, NA, NA
1999, NA, NA
2000,5971,910
2001, NA, NA
2002, NA, NA
2003, NA, NA
2004,15828,1200
2005, NA, NA
2006, NA, NA
2007,14119,1077
2008, NA, NA
2009, NA, NA
2010,13720,6442
2011, NA, NA
2012, NA, NA
2013, NA, NA
2014, NA, NA
2015, NA, NA
2016,13166,815
