year, obs, se
1960, NA, NA
1961, NA, NA
1962,134,134
1963,400,400
1964,550,550
1965,660,660
1966, NA, NA
1967,580,580
1968,700,700
1969,800,800
1970,800,800
1971,1000,1000
1972,950,950
1973,1200,1200
1974,1250,1250
1975, NA, NA
1976,2000,2000
1977,2181,173
1978,2687,192
1979,2933,201
1980,3344,214
1981,3143,208
1982,4489,248
1983,5435,273
1984,5856,283
1985,5606,277
1986,6301,294
1987,7391,318
1988,8593,343
1989,11168,365
1990,10457,575
1991, NA, NA
1992, NA, NA
1993,15500,463
1994, NA, NA
1995, NA, NA
1996, NA, NA
1997,25400,759.6979663
1998, NA, NA
1999, NA, NA
2000, NA, NA
2001, NA, NA
2002, NA, NA
2003, NA, NA
2004,41500,4381.659161
2005, NA, NA
2006, NA, NA
2007,54482,8909.089796
2008, NA, NA
2009, NA, NA
2010,62054,4974.859294
2011, NA, NA
2012, NA, NA
2013, NA, NA
2014, NA, NA
2015, NA, NA
2016,88415,10177.66795
