year,nuisance,science,canpup,can1plus,cull1plus,cullpup
1960,0,0,0,0,0,0
1961,0,0,0,0,0,0
1962,0,0,0,0,0,0
1963,0,293,0,0,0,0
1964,0,6,0,0,0,0
1965,0,1,0,0,0,0
1966,0,0,0,0,0,0
1967,0,0,0,0,17,212
1968,0,104,0,0,18,134
1969,0,1,0,0,31,104
1970,43,2,0,0,125,450
1971,1,12,0,0,97,382
1972,0,0,0,0,32,408
1973,0,0,0,0,36,431
1974,0,2,0,0,51,482
1975,22,0,0,0,87,512
1976,0,9,0,0,80,466
1977,0,69,0,0,34,373
1978,0,0,0,0,90,290
1979,0,0,0,0,45,269
1980,0,0,0,0,211,115
1981,0,115,0,0,35,197
1982,0,69,0,0,42,276
1983,0,411,0,0,45,152
1984,0,20,0,0,34,80
1985,0,0,0,0,0,0
1986,0,0,0,0,0,0
1987,0,0,0,0,0,0
1988,0,46,0,0,0,0
1989,0,501,0,0,0,0
1990,0,206,0,0,0,0
1991,0,0,0,0,0,0
1992,0,6,0,0,0,0
1993,0,0,0,0,0,0
1994,0,0,0,0,0,0
1995,0,0,0,0,0,0
1996,0,24,6,0,0,0
1997,0,7,0,0,0,0
1998,0,0,0,0,0,0
1999,1638,0,0,0,0,0
2000,1743,0,82,0,0,0
2001,1820,0,1301,0,0,0
2002,1953,0,0,0,0,0
2003,2079,0,0,0,0,0
2004,2660,0,0,0,0,0
2005,2751,0,494,0,0,0
2006,3045,0,830,0,0,0
2007,2989,0,868,0,0,0
2008,3018,0,1261,0,0,0
2009,5218,0,263,0,0,0
2010,1853,0,50,0,0,0
2011,1722,0,195,0,0,0
2012,5428,0,8,0,0,0
2013,3732,0,0,0,0,0
2014,3732,1,0,0,0,0
2015,3732,0,230,0,0,0
2016,3732,0,0,0,0,0
